Claim_ID,Policy_ID,Policy_Holder,Claim_Date,Claim_Type,Policy_Type,Claim_Amount,Reimbursed_Amount,Premium_Amount,Coverage_Amount,Location,Region,Rainfall_mm,Weather_Condition,Incident_Description,Claim_Channel,Customer_Age,Customer_Gender,Settlement_Status,Processing_Days,Fraud_Flag,Claim_Loss_Ratio
C4292-D,P36034-R,Kavya Swaminathan,2024-08-12,Vehicle,Health,33690,33690,19768,309172,Jaipur,North,155,Moderate Rain,Flood Damage,Mobile App,62,Other,Settled,22,No,0.11
C9747-Q,P24260-K,Indranil Jaggi,2024-10-20,Property,Vehicle,222869,222869,42829,306700,Jaipur,North,289,Flood,Road Accident,Online,61,Male,Pending,20,No,0.73
C5187-G,P78664-X,Pranay Hayer,2024-09-09,Health,Agriculture,106631,106631,24398,211236,Hyderabad,South,282,Light Rain,Road Accident,Online,52,Other,Settled,26,No,0.5
C7080-I,P99070-H,Kashvi Kumer,2024-04-05,Property,Vehicle,220511,220511,19843,477814,Pune,West,215,Moderate Rain,Crop Loss,Mobile App,35,Other,Settled,9,Yes,0.46
C2656-L,P22239-Q,Charvi Madan,2024-07-31,Vehicle,Life,148017,141246,44187,345984,Chennai,South,208,Heavy Rain,Flood Damage,Branch,22,Male,Settled,26,No,0.43
C9011-L,P64341-C,Nakul Kurian,2024-08-31,Agriculture,Property,57607,57607,10468,284269,Kolkata,East,154,Moderate Rain,Crop Loss,Branch,57,Other,Settled,12,No,0.2
C5694-J,P92927-S,Vihaan Reddy,2024-04-23,Agriculture,Agriculture,216012,216012,36108,295971,Hyderabad,South,251,Light Rain,Road Accident,Branch,26,Male,Settled,25,No,0.73
C6509-W,P78633-R,Raunak Kalla,2024-01-26,Vehicle,Agriculture,101662,101662,34879,296600,Lucknow,North,234,Heavy Rain,Hospitalization,Branch,51,Male,Pending,5,No,0.34
C6383-I,P20924-T,Yakshit Shetty,2024-12-11,Agriculture,Life,133877,133877,6310,308274,Delhi,North,235,Heavy Rain,Flood Damage,Agent,33,Male,Settled,24,No,0.43
C7093-U,P86534-S,Gatik Kapoor,2024-11-02,Property,Property,110466,110466,25188,221376,Pune,West,55,Heavy Rain,Hospitalization,Mobile App,67,Other,Settled,18,Yes,0.5
C7447-C,P99510-E,Nehmat Kalla,2024-11-24,Health,Property,170072,170072,48613,461321,Kolkata,East,231,Moderate Rain,House Damage,Online,42,Other,Rejected,11,No,0.37
C9620-O,P84384-P,Aaina Bava,2024-09-14,Health,Property,81384,81384,44577,166449,Pune,West,146,Flood,House Damage,Online,70,Female,Settled,30,No,0.49
C4632-B,P14808-M,Sara Garg,2024-05-24,Health,Vehicle,85429,85429,24658,264306,Pune,West,214,Moderate Rain,Hospitalization,Mobile App,19,Female,Settled,21,No,0.32
C7375-W,P97970-Y,Faiyaz Raja,2024-06-19,Agriculture,Agriculture,277537,277537,23525,356596,Pune,West,131,Flood,House Damage,Agent,56,Female,Settled,28,No,0.78
C1394-L,P98103-O,Nirvaan Wadhwa,2024-04-14,Health,Vehicle,152629,152629,32711,391263,Kolkata,East,71,Moderate Rain,House Damage,Mobile App,65,Other,Settled,16,No,0.39
C6858-I,P58985-M,Aarna Sibal,2024-10-29,Property,Agriculture,447860,388835,30201,674679,Bangalore,South,58,Moderate Rain,Road Accident,Online,19,Male,Pending,11,No,0.66
C3756-M,P47877-X,Tiya Biswas,2024-01-10,Vehicle,Life,63447,63447,49682,296471,Chennai,South,56,Heavy Rain,Hospitalization,Mobile App,39,Female,Settled,12,Yes,0.21
C4902-I,P40063-N,Zoya Lanka,2024-01-30,Health,Property,135989,103810,12605,287596,Ahmedabad,West,70,Light Rain,House Damage,Online,70,Other,Settled,7,No,0.47
C2996-B,P78420-A,Bhamini Kaul,2024-02-17,Property,Property,286092,286092,35331,493514,Delhi,North,170,Heavy Rain,House Damage,Branch,62,Male,Settled,15,No,0.58
C1088-A,P47924-E,Ishaan Lalla,2024-08-12,Vehicle,Life,70461,70461,37557,312522,Lucknow,North,195,Moderate Rain,Road Accident,Online,18,Female,Settled,28,No,0.23
C6412-K,P54880-N,Trisha Mangal,2024-01-05,Agriculture,Life,262885,262885,46668,352785,Lucknow,North,102,Flood,Crop Loss,Branch,36,Male,Pending,17,No,0.75
C1319-U,P62069-D,Rania Bora,2024-03-14,Property,Property,204565,204565,45768,488257,Kolkata,East,234,Moderate Rain,House Damage,Online,66,Female,Pending,27,No,0.42
C8662-P,P78192-T,Tiya Wali,2024-11-06,Property,Agriculture,283348,283348,19435,472932,Mumbai,West,109,Light Rain,House Damage,Mobile App,63,Male,Settled,11,Yes,0.6
C6971-O,P32858-R,Vritika Dave,2024-03-11,Vehicle,Life,63719,63719,44294,201604,Bangalore,South,296,Flood,House Damage,Mobile App,61,Female,Settled,24,No,0.32
C2601-Y,P70968-A,Sumer Sama,2024-01-01,Health,Life,86702,86702,46158,188284,Hyderabad,South,69,Moderate Rain,House Damage,Mobile App,51,Other,Pending,25,No,0.46
C8918-H,P47988-X,Ehsaan Kothari,2024-05-07,Vehicle,Life,66897,66897,39877,257623,Jaipur,North,173,Heavy Rain,Flood Damage,Agent,20,Female,Pending,11,No,0.26
C9179-Z,P51169-N,Vidur Shroff,2024-02-24,Health,Property,37587,37587,41104,249785,Bangalore,South,60,Flood,Flood Damage,Agent,31,Female,Pending,3,No,0.15
C2301-N,P70363-L,Onkar Brahmbhatt,2024-09-12,Health,Vehicle,128906,128906,28734,234991,Ahmedabad,West,87,Heavy Rain,Flood Damage,Agent,24,Female,Rejected,9,No,0.55
C1778-P,P44374-F,Zara Warrior,2024-08-12,Vehicle,Vehicle,75775,75775,23569,356307,Delhi,North,54,Heavy Rain,House Damage,Mobile App,19,Other,Settled,26,No,0.21
C4824-Z,P63481-Y,Ehsaan Brahmbhatt,2024-08-30,Vehicle,Life,83451,83451,35883,187683,Chennai,South,126,Heavy Rain,Flood Damage,Online,55,Female,Settled,3,No,0.44
C9159-E,P22231-N,Rasha Tak,2024-09-20,Agriculture,Life,108060,108060,42326,377857,Lucknow,North,152,Heavy Rain,Hospitalization,Agent,47,Female,Rejected,16,No,0.29
C2672-D,P80683-O,Seher Vora,2024-09-16,Property,Health,317079,317079,36038,369600,Delhi,North,228,Light Rain,Flood Damage,Online,55,Male,Pending,9,No,0.86
C5559-L,P75876-X,Jayesh Dubey,2024-06-04,Agriculture,Health,198499,198499,27587,404439,Jaipur,North,62,Moderate Rain,Road Accident,Mobile App,58,Female,Settled,12,No,0.49
C4908-X,P16633-M,Shalv Chander,2024-04-14,Property,Life,290997,290997,44735,488127,Lucknow,North,53,Moderate Rain,Hospitalization,Agent,60,Female,Settled,22,No,0.6
C9322-Z,P94452-X,Mamooty Chaudry,2024-09-18,Health,Property,137053,137053,9878,432786,Hyderabad,South,266,Flood,Hospitalization,Online,53,Male,Pending,19,No,0.32
C4936-R,P60535-V,Himmat Manne,2024-09-01,Health,Vehicle,51936,51936,39673,264712,Hyderabad,South,265,Light Rain,House Damage,Mobile App,51,Male,Settled,22,No,0.2
C1212-N,P71779-P,Drishya Kurian,2024-09-27,Vehicle,Health,142909,142909,12164,312557,Lucknow,North,167,Flood,Hospitalization,Online,18,Male,Rejected,24,No,0.46
C6660-U,P88958-U,Zeeshan Bhasin,2024-08-10,Vehicle,Agriculture,67635,67635,8719,329198,Lucknow,North,102,Light Rain,Crop Loss,Agent,33,Female,Settled,23,No,0.21
C5464-S,P82031-B,Taimur Ganguly,2024-09-17,Property,Vehicle,139938,139938,37310,371121,Chennai,South,235,Light Rain,Hospitalization,Mobile App,63,Female,Settled,29,Yes,0.38
C7004-M,P89362-K,Trisha Balasubramanian,2024-02-05,Agriculture,Health,136910,136910,20930,271112,Jaipur,North,159,Flood,Hospitalization,Mobile App,41,Other,Rejected,3,No,0.5
C5607-X,P22977-D,Jivika Bhattacharyya,2024-09-26,Agriculture,Health,184750,176145,24749,479611,Mumbai,West,183,Moderate Rain,Road Accident,Agent,63,Other,Pending,23,No,0.39
C6502-F,P99841-G,Kanav Wali,2024-07-20,Health,Life,123050,123050,39411,221193,Lucknow,North,262,Heavy Rain,Hospitalization,Branch,59,Female,Settled,5,No,0.56
C1713-O,P15607-Q,Sana Sandal,2024-03-07,Agriculture,Property,176612,176612,6347,245329,Jaipur,North,265,Light Rain,Crop Loss,Mobile App,37,Male,Pending,18,No,0.72
C2010-F,P15821-J,Ojas Sampath,2024-05-03,Vehicle,Agriculture,112440,112440,40682,180040,Delhi,North,115,Moderate Rain,House Damage,Online,53,Male,Settled,20,No,0.62
C5423-E,P45989-T,Kanav Kapoor,2024-04-04,Agriculture,Property,194606,194606,31196,303915,Mumbai,West,199,Flood,Flood Damage,Branch,70,Other,Settled,26,No,0.64
C1418-T,P75849-W,Dishani Lad,2024-07-29,Health,Property,70874,70874,16965,250867,Chennai,South,64,Light Rain,Crop Loss,Mobile App,47,Male,Settled,20,No,0.28
C9852-U,P75105-G,Samar Wason,2024-02-16,Agriculture,Vehicle,67528,67528,16933,238553,Ahmedabad,West,297,Light Rain,Crop Loss,Agent,67,Female,Settled,4,No,0.28
C4916-A,P75829-M,Purab Dyal,2024-10-21,Property,Health,446151,446151,30690,663445,Chennai,South,119,Moderate Rain,House Damage,Online,43,Female,Pending,22,No,0.67
C7951-T,P10251-V,Ojas Arora,2024-07-01,Vehicle,Property,95239,95239,24631,319741,Kolkata,East,191,Flood,Flood Damage,Mobile App,54,Female,Pending,3,No,0.3
C7612-D,P95657-K,Ira Saran,2024-06-21,Property,Property,238413,238413,27836,465592,Bangalore,South,235,Heavy Rain,Flood Damage,Agent,49,Female,Settled,11,No,0.51
C6602-U,P99804-F,Vritika Jhaveri,2024-07-29,Health,Life,84686,84686,44949,353549,Ahmedabad,West,146,Light Rain,Crop Loss,Branch,37,Male,Settled,13,No,0.24
C7037-B,P70275-A,Suhana Chaudhary,2024-09-23,Agriculture,Agriculture,169342,169342,35440,394630,Ahmedabad,West,131,Flood,Road Accident,Online,21,Female,Pending,8,No,0.43
C9523-P,P63950-B,Mannat Dhawan,2024-05-20,Agriculture,Health,197238,197238,37527,424040,Jaipur,North,185,Moderate Rain,Crop Loss,Online,45,Other,Settled,4,Yes,0.47
C6367-F,P38184-F,Eshani Sinha,2024-04-07,Vehicle,Vehicle,117443,117443,25256,298972,Mumbai,West,88,Flood,Road Accident,Mobile App,69,Male,Pending,7,No,0.39
C9689-L,P54369-O,Badal Dhawan,2024-12-05,Vehicle,Property,47645,47645,42614,152515,Delhi,North,201,Flood,Hospitalization,Mobile App,70,Other,Pending,16,No,0.31
C8300-Q,P54877-D,Reyansh Sarna,2024-10-23,Property,Life,443186,443186,38873,494853,Pune,West,97,Moderate Rain,Hospitalization,Branch,51,Other,Pending,18,No,0.9
C1391-Y,P83739-T,Jivin Chand,2024-10-27,Vehicle,Vehicle,105013,105013,10443,280965,Ahmedabad,West,182,Moderate Rain,Hospitalization,Branch,26,Male,Pending,22,No,0.37
C8504-Z,P81421-D,Riaan Sandhu,2024-04-04,Vehicle,Health,58441,58441,42289,176264,Mumbai,West,281,Heavy Rain,Hospitalization,Agent,52,Male,Pending,18,No,0.33
C6125-N,P68872-G,Elakshi Borde,2024-09-26,Agriculture,Vehicle,120208,96325,42152,393940,Jaipur,North,281,Moderate Rain,Crop Loss,Agent,53,Other,Settled,12,No,0.31
C6816-L,P48482-Q,Umang Balasubramanian,2024-12-13,Agriculture,Agriculture,113497,113497,15622,176180,Bangalore,South,222,Light Rain,Crop Loss,Online,58,Female,Pending,24,No,0.64
C8003-I,P16254-M,Diya Seth,2024-06-01,Health,Health,37083,37083,31378,262072,Pune,West,132,Flood,Hospitalization,Branch,41,Male,Settled,30,No,0.14
C4087-Y,P46740-W,Rhea Roy,2024-05-08,Vehicle,Health,30463,22159,16667,279691,Delhi,North,289,Heavy Rain,Crop Loss,Branch,62,Female,Rejected,23,No,0.11
C7722-L,P19416-Q,Ivana Yadav,2024-01-29,Agriculture,Vehicle,282503,282503,32944,506458,Jaipur,North,259,Flood,Flood Damage,Online,49,Female,Settled,15,No,0.56
C1726-K,P39665-F,Misha Gopal,2024-04-23,Health,Property,43590,34290,38127,148907,Chennai,South,264,Moderate Rain,House Damage,Online,39,Female,Rejected,13,No,0.29
C8429-R,P31250-S,Jivin Sachar,2024-07-21,Vehicle,Agriculture,140359,140359,35185,434546,Kolkata,East,297,Flood,Flood Damage,Branch,44,Female,Settled,21,No,0.32
C6310-T,P63244-G,Hridaan Virk,2024-11-29,Health,Health,159096,159096,11432,302476,Kolkata,East,182,Heavy Rain,Crop Loss,Online,55,Female,Settled,15,Yes,0.53
C9430-J,P91965-K,Ivan Sen,2024-04-22,Health,Vehicle,52435,52435,23666,257010,Pune,West,114,Heavy Rain,Road Accident,Mobile App,45,Female,Pending,15,No,0.2
C1496-Z,P39441-Q,Misha Handa,2024-06-21,Agriculture,Property,139632,139632,22526,355333,Delhi,North,233,Light Rain,Road Accident,Online,44,Female,Settled,21,No,0.39
C7036-J,P55358-K,Navya Gala,2024-11-18,Property,Agriculture,252162,252162,43753,324045,Bangalore,South,109,Heavy Rain,Road Accident,Online,21,Female,Pending,24,No,0.78
C3844-W,P67421-K,Vaibhav Sarkar,2024-12-19,Vehicle,Agriculture,68900,57638,28816,252951,Mumbai,West,178,Heavy Rain,Flood Damage,Agent,47,Other,Pending,16,No,0.27
C9166-L,P43044-T,Bhamini Shroff,2024-10-27,Health,Property,123743,123743,43723,346738,Delhi,North,72,Heavy Rain,Flood Damage,Online,57,Male,Settled,30,No,0.36
C1911-Q,P12064-L,Mishti Dugar,2024-05-11,Agriculture,Life,221753,221731,45098,379903,Mumbai,West,255,Light Rain,Road Accident,Mobile App,63,Female,Pending,18,No,0.58
C8538-B,P86759-D,Ivan Kari,2024-11-13,Agriculture,Vehicle,164995,164995,48678,337644,Chennai,South,138,Moderate Rain,Crop Loss,Agent,65,Other,Settled,28,No,0.49
C3281-H,P12970-H,Elakshi Sankar,2024-04-25,Vehicle,Life,103011,103011,48044,165736,Delhi,North,235,Heavy Rain,Flood Damage,Online,32,Other,Rejected,11,No,0.62
C6869-E,P40700-C,Saanvi Bhavsar,2024-09-10,Vehicle,Vehicle,97549,97549,45094,190810,Pune,West,79,Heavy Rain,Flood Damage,Mobile App,60,Other,Settled,26,No,0.51
C5977-S,P90850-H,Ryan Sampath,2024-06-25,Property,Vehicle,247548,247548,36687,407297,Jaipur,North,106,Light Rain,Flood Damage,Online,42,Female,Pending,11,No,0.61
C4955-K,P16043-A,Ranbir Kohli,2024-05-11,Property,Property,361699,361699,34806,524342,Delhi,North,178,Moderate Rain,Hospitalization,Online,29,Other,Pending,22,No,0.69
C3887-G,P36085-Q,Ishita Yohannan,2024-12-04,Health,Vehicle,145046,145046,15614,370091,Ahmedabad,West,297,Moderate Rain,Crop Loss,Agent,51,Other,Settled,9,No,0.39
C2328-E,P14951-X,Madhav Suresh,2024-10-30,Health,Health,137772,137772,22921,328793,Jaipur,North,188,Light Rain,Flood Damage,Mobile App,32,Female,Pending,16,No,0.42
C9768-B,P12572-U,Reyansh Kade,2024-11-19,Health,Vehicle,79833,79833,7268,191013,Pune,West,137,Light Rain,Flood Damage,Branch,23,Other,Settled,8,No,0.42
C7781-T,P60318-P,Piya Rastogi,2024-04-11,Health,Property,25990,25990,31013,106841,Lucknow,North,111,Moderate Rain,Crop Loss,Mobile App,28,Other,Rejected,20,No,0.24
C1682-Q,P21023-D,Zaina Krishnamurthy,2024-12-05,Agriculture,Health,94833,94833,49152,350227,Ahmedabad,West,79,Flood,Flood Damage,Branch,43,Male,Rejected,6,No,0.27
C2024-Z,P17972-C,Kaira Varty,2024-09-24,Vehicle,Agriculture,44481,44481,40333,120877,Hyderabad,South,208,Light Rain,Road Accident,Online,29,Male,Settled,9,Yes,0.37
C8238-Q,P51126-U,Zoya Dutt,2024-08-15,Health,Life,113883,113883,14297,260602,Kolkata,East,224,Light Rain,Flood Damage,Branch,26,Male,Pending,8,No,0.44
C6180-M,P23824-H,Renee Bumb,2024-05-22,Property,Health,292477,292477,40694,530597,Bangalore,South,122,Light Rain,Crop Loss,Online,28,Male,Settled,15,No,0.55
C4238-A,P51379-Z,Shaan Chanda,2024-03-14,Health,Health,172395,159253,11993,453695,Hyderabad,South,139,Light Rain,House Damage,Mobile App,57,Female,Rejected,14,No,0.38
C9129-X,P86307-U,Kavya Khurana,2024-12-07,Vehicle,Vehicle,138564,138564,37657,189441,Mumbai,West,195,Flood,Hospitalization,Online,33,Male,Pending,4,No,0.73
C7123-A,P19066-T,Ehsaan Bajwa,2024-07-02,Agriculture,Life,170769,170769,44309,399626,Chennai,South,227,Light Rain,Hospitalization,Agent,56,Male,Settled,4,No,0.43
C2896-N,P25438-Q,Aarush Goswami,2024-09-22,Property,Vehicle,104808,104808,5284,303770,Hyderabad,South,138,Light Rain,House Damage,Online,41,Female,Settled,6,No,0.35
C3949-T,P72184-E,Drishya Borde,2024-12-18,Vehicle,Life,132180,132180,17040,283797,Bangalore,South,70,Light Rain,Hospitalization,Agent,56,Other,Rejected,27,No,0.47
C2452-D,P90421-C,Aaryahi Sood,2024-05-09,Property,Health,393351,393351,6917,560622,Jaipur,North,157,Moderate Rain,Road Accident,Online,28,Female,Settled,10,No,0.7
C3547-R,P47185-N,Hridaan Magar,2024-01-16,Agriculture,Property,135548,135548,22280,270759,Hyderabad,South,192,Light Rain,Hospitalization,Agent,18,Male,Settled,20,No,0.5
C9869-J,P72859-T,Miraan Krishna,2024-07-31,Health,Agriculture,104625,104625,14183,224631,Jaipur,North,205,Moderate Rain,Road Accident,Agent,24,Male,Settled,23,No,0.47
C1420-O,P76926-S,Piya Verma,2024-03-07,Property,Vehicle,468548,468548,24441,738688,Ahmedabad,West,298,Moderate Rain,Crop Loss,Agent,33,Other,Settled,5,No,0.63
C4622-W,P62147-U,Shlok Lanka,2024-08-02,Agriculture,Property,188001,188001,44384,263061,Bangalore,South,246,Heavy Rain,Hospitalization,Online,66,Male,Settled,11,No,0.71
C3044-J,P68784-M,Tanya Cherian,2024-09-17,Health,Health,110172,110172,7561,162164,Hyderabad,South,233,Light Rain,House Damage,Online,35,Female,Pending,29,No,0.68
C5975-D,P39287-F,Aniruddh Ratta,2024-08-28,Vehicle,Agriculture,83039,83039,40118,350702,Mumbai,West,156,Heavy Rain,House Damage,Branch,54,Male,Settled,4,No,0.24
C5035-P,P75049-A,Bhamini Khosla,2024-03-12,Property,Health,205440,205440,20318,325553,Bangalore,South,66,Moderate Rain,Flood Damage,Mobile App,21,Female,Settled,12,No,0.63
C5860-X,P13478-P,Stuvan Dash,2024-06-08,Vehicle,Vehicle,137999,137999,31185,336700,Delhi,North,212,Light Rain,House Damage,Online,47,Male,Settled,16,No,0.41
C1404-K,P98661-Y,Adah Wali,2024-10-13,Health,Property,109414,109414,21051,266778,Mumbai,West,52,Flood,Road Accident,Branch,61,Male,Settled,18,No,0.41
C6673-X,P93055-D,Nayantara Joshi,2024-11-29,Property,Life,100348,100348,29860,233634,Mumbai,West,213,Moderate Rain,Hospitalization,Online,58,Male,Settled,30,No,0.43
C7501-U,P74070-J,Pari Mammen,2024-11-05,Agriculture,Health,91414,54243,32215,337423,Pune,West,150,Heavy Rain,Flood Damage,Agent,58,Male,Settled,19,No,0.27
C1998-D,P91994-N,Yuvraj  Shankar,2024-07-08,Vehicle,Agriculture,78090,78090,8432,241478,Pune,West,74,Flood,Crop Loss,Online,56,Other,Pending,21,No,0.32
C6816-F,P15160-Q,Ishita Dugar,2024-01-21,Vehicle,Property,131559,131559,8601,340583,Ahmedabad,West,97,Moderate Rain,Road Accident,Branch,20,Female,Pending,17,No,0.39
C4138-P,P46616-I,Anahi Shukla,2024-06-23,Property,Life,189651,189651,8245,441007,Bangalore,South,222,Moderate Rain,House Damage,Mobile App,34,Male,Settled,3,No,0.43
C7512-N,P46911-P,Rohan Aggarwal,2024-05-18,Agriculture,Agriculture,189986,189986,34760,258880,Jaipur,North,169,Flood,Crop Loss,Online,62,Female,Pending,7,No,0.73
C8055-C,P20169-Z,Mamooty Saxena,2024-10-30,Agriculture,Property,80533,80533,30682,246697,Delhi,North,139,Moderate Rain,Crop Loss,Agent,48,Female,Pending,8,No,0.33
C8614-A,P57952-N,Mishti Taneja,2024-09-27,Health,Vehicle,178135,178135,31222,284002,Pune,West,60,Light Rain,House Damage,Mobile App,49,Other,Pending,21,No,0.63
C8729-L,P80674-M,Lavanya Bal,2024-09-03,Property,Property,186834,186834,14524,429716,Delhi,North,170,Heavy Rain,House Damage,Online,70,Male,Settled,9,No,0.43
C8263-J,P58179-M,Anya Rajagopal,2024-02-20,Health,Life,144795,144795,9536,270007,Lucknow,North,197,Light Rain,Hospitalization,Online,59,Male,Settled,30,No,0.54
C8190-Z,P31675-F,Trisha Seth,2024-11-21,Property,Health,180461,180461,46726,440060,Kolkata,East,202,Heavy Rain,Hospitalization,Online,36,Other,Settled,15,No,0.41
C7368-R,P78875-H,Keya Bahl,2024-08-20,Property,Health,401537,401537,11078,646151,Bangalore,South,163,Light Rain,Crop Loss,Branch,52,Other,Settled,23,No,0.62
C9640-F,P95098-F,Kashvi Chowdhury,2024-05-12,Agriculture,Vehicle,99272,99272,16985,221085,Ahmedabad,West,111,Light Rain,House Damage,Branch,49,Other,Pending,17,No,0.45
C1189-L,P70680-D,Prisha Tank,2024-06-08,Agriculture,Life,240525,240525,19005,412206,Mumbai,West,200,Flood,House Damage,Branch,61,Other,Pending,11,No,0.58
C3750-W,P52435-G,Ritvik Keer,2024-04-02,Health,Health,188649,188649,38677,321092,Jaipur,North,53,Moderate Rain,Road Accident,Agent,57,Female,Rejected,20,No,0.59
C7996-F,P70187-J,Himmat Bose,2024-11-22,Property,Property,129718,129718,12026,214172,Hyderabad,South,248,Light Rain,Crop Loss,Branch,48,Other,Rejected,11,No,0.61
C4425-P,P41043-D,Miraya Varty,2024-10-23,Property,Agriculture,223462,155064,39791,344021,Chennai,South,69,Light Rain,Road Accident,Mobile App,18,Other,Settled,17,No,0.65
C2018-S,P90008-X,Kabir Kothari,2024-08-12,Agriculture,Health,93957,93957,21629,355380,Chennai,South,296,Light Rain,Road Accident,Agent,52,Other,Pending,21,No,0.26
C2457-X,P42051-N,Tushar Shetty,2024-11-30,Property,Agriculture,204045,204045,30488,259614,Ahmedabad,West,250,Heavy Rain,Road Accident,Agent,20,Other,Pending,18,No,0.79
C2080-F,P68480-R,Misha Yogi,2024-01-13,Property,Vehicle,310173,310173,35358,368237,Mumbai,West,100,Light Rain,Road Accident,Agent,62,Female,Pending,4,No,0.84
C7183-E,P28817-F,Advik Sant,2024-11-15,Vehicle,Agriculture,58490,58490,14591,324173,Lucknow,North,51,Moderate Rain,Hospitalization,Branch,24,Other,Settled,26,No,0.18
C2480-C,P25739-R,Aarav Magar,2024-06-21,Vehicle,Property,128082,128082,37306,180878,Lucknow,North,250,Light Rain,Hospitalization,Branch,65,Male,Pending,22,No,0.71
C1059-W,P33739-F,Mamooty Warrior,2024-05-09,Property,Property,463609,463609,22287,665711,Chennai,South,251,Flood,Road Accident,Branch,60,Other,Pending,22,No,0.7
C4040-O,P37783-E,Aniruddh Chawla,2024-02-19,Health,Agriculture,61224,61224,33067,209737,Bangalore,South,197,Flood,Road Accident,Branch,50,Male,Rejected,9,No,0.29
C8372-D,P48426-O,Ivan Kumar,2024-11-10,Vehicle,Life,40609,40609,44067,209432,Pune,West,232,Heavy Rain,Flood Damage,Online,24,Other,Settled,27,No,0.19
C5605-R,P16797-D,Shaan Ghosh,2024-01-22,Health,Property,169276,169276,34949,377330,Bangalore,South,106,Heavy Rain,Road Accident,Agent,37,Other,Pending,21,No,0.45
C3584-T,P41815-Z,Nishith Biswas,2024-08-27,Agriculture,Health,195738,195738,42598,340449,Bangalore,South,96,Heavy Rain,Crop Loss,Agent,22,Female,Settled,11,No,0.57
C4432-H,P62872-O,Anya Choudhry,2024-03-02,Vehicle,Vehicle,133566,133566,40164,377551,Mumbai,West,284,Flood,Hospitalization,Online,33,Female,Pending,10,No,0.35
C5650-O,P47705-T,Chirag Savant,2024-01-27,Property,Property,369774,369774,8863,636006,Bangalore,South,161,Light Rain,Hospitalization,Agent,22,Female,Pending,20,No,0.58
C4668-J,P32919-E,Umang Khanna,2024-12-08,Property,Property,143120,143120,43083,380932,Bangalore,South,116,Flood,Crop Loss,Agent,50,Female,Rejected,22,No,0.38
C7516-R,P91929-W,Hiran Mangal,2024-09-20,Health,Life,92349,92349,22899,230755,Lucknow,North,245,Light Rain,Road Accident,Branch,59,Male,Settled,25,No,0.4
C4448-Y,P78149-T,Umang Rout,2024-01-16,Vehicle,Property,86522,86522,41715,237313,Pune,West,223,Heavy Rain,Flood Damage,Branch,25,Other,Settled,18,No,0.36
C9177-D,P93004-W,Khushi Samra,2024-04-20,Agriculture,Life,250664,250664,17862,517664,Delhi,North,233,Heavy Rain,Road Accident,Agent,69,Female,Settled,29,No,0.48
C7339-E,P49212-U,Gokul Kalita,2024-04-11,Agriculture,Agriculture,64395,64395,11735,288312,Chennai,South,291,Flood,Hospitalization,Agent,59,Male,Settled,17,No,0.22
C6557-Q,P59196-Y,Mannat Goda,2024-08-26,Health,Health,56124,56124,10378,180962,Hyderabad,South,163,Flood,House Damage,Agent,25,Other,Settled,26,No,0.31
C7877-B,P20839-K,Nayantara Tripathi,2024-08-30,Vehicle,Vehicle,107593,107593,39887,249218,Bangalore,South,138,Moderate Rain,House Damage,Agent,26,Female,Settled,8,No,0.43
C4021-S,P57077-Z,Vedika Kuruvilla,2024-01-02,Vehicle,Vehicle,148261,148261,14017,316117,Lucknow,North,94,Light Rain,House Damage,Branch,32,Other,Settled,3,No,0.47
C1564-R,P52312-D,Kabir Hegde,2024-08-04,Agriculture,Life,100410,76080,38292,343825,Ahmedabad,West,163,Light Rain,Hospitalization,Mobile App,49,Male,Settled,19,No,0.29
C7714-D,P48034-E,Jivika Ram,2024-04-17,Property,Life,311522,264819,44461,607547,Hyderabad,South,80,Moderate Rain,Crop Loss,Online,55,Male,Settled,10,No,0.51
C3234-J,P67316-E,Hansh Sinha,2024-08-11,Vehicle,Agriculture,88542,88542,8353,269176,Jaipur,North,261,Flood,Hospitalization,Branch,53,Female,Settled,15,No,0.33
C4628-H,P25176-A,Vritika Verma,2024-12-28,Health,Agriculture,79725,79725,18578,342868,Chennai,South,78,Moderate Rain,Crop Loss,Branch,50,Female,Settled,16,No,0.23
C2932-J,P57760-M,Keya Sekhon,2024-04-28,Agriculture,Agriculture,227509,227509,19720,339924,Delhi,North,55,Heavy Rain,Hospitalization,Agent,45,Other,Pending,5,No,0.67
C4615-Z,P37628-Y,Samar Chandra,2024-09-15,Health,Vehicle,186509,185655,18077,339229,Chennai,South,78,Heavy Rain,Crop Loss,Branch,69,Female,Settled,8,No,0.55
C6306-K,P93672-S,Anahita Rajagopal,2024-10-20,Property,Property,112623,112623,44082,289169,Ahmedabad,West,83,Heavy Rain,Hospitalization,Online,32,Other,Pending,24,Yes,0.39
C5130-Y,P49064-H,Vaibhav Sarna,2024-01-31,Property,Property,219318,219318,22526,351109,Delhi,North,239,Light Rain,Crop Loss,Branch,21,Female,Settled,25,No,0.62
C3249-P,P66875-P,Purab Banik,2024-09-11,Health,Agriculture,41832,35113,9602,232561,Lucknow,North,59,Flood,Crop Loss,Branch,61,Male,Pending,8,No,0.18
C2727-D,P92409-X,Ojas Acharya,2024-07-13,Health,Agriculture,157376,157376,22630,310828,Hyderabad,South,133,Light Rain,House Damage,Mobile App,62,Female,Settled,14,No,0.51
C1299-F,P40507-Q,Hansh Yadav,2024-12-12,Property,Vehicle,278026,278026,49893,338569,Mumbai,West,147,Light Rain,Hospitalization,Mobile App,61,Female,Rejected,23,No,0.82
